record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,71260,0,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
2,71561,301,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
3,71574,314,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00
4,71595,335,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
5,71854,594,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
6,72021,761,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A C0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 35 35 AA AA 95 5A 99 99 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 59 35 AA AA 35 35 AA AA 6A 5A 95 95 FF 5C C7 33 35 5A 35 35 65 35 35 56
7,72159,899,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
8,72459,1199,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
9,72759,1499,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
10,73058,1798,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
11,73358,2098,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
12,73659,2399,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
13,73957,2697,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
14,74258,2998,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
15,74558,3298,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
16,74859,3599,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A
17,74878,3618,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
18,75163,3903,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00
19,75178,3918,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00
20,75198,3938,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
21,75453,4193,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80 5C C7 33 35 5A 35 35 65 35 35 56
22,75465,4205,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
23,75473,4213,500k_8E1,5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 C0 5C C7 33 35 5A 35 35 65 35 35 56
24,75484,4224,500k_8E1,5C C7 33 56 95 35 59 AA AA AA AA AA 65 99 69 00 5C C7 33 35 5A 35 35 65 35 35 56
25,75764,4504,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
26,76060,4800,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
27,76079,4819,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
28,76361,5101,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
29,76659,5399,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
30,76960,5700,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
31,77026,5766,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A F0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 35 35 AA AA 95 5A 99 99 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 59 35 AA AA 35 35 AA AA 6A 5A 95 95 FF 5C C7 33 35 5A 35 35 65 35 35 56
32,77266,6006,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
33,77564,6304,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
34,77865,6605,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
35,78165,6905,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
36,78464,7204,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
37,78764,7504,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
38,79064,7804,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
