record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,170701,0,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
2,171002,301,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 95 35 99 99 AA AA 35 35 AA 95 9A 96
3,171300,599,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
4,171600,899,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
5,171901,1200,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 95 35 99 99 AA AA 35 35 AA 95 9A 96
6,172160,1459,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A 6A AA 69 6A A9 99 F8 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 6A AA A9 5A A5 99 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 6A AA 35 35 AA AA 66 9A 99 35 FF 5C C7 33 35 5A 35 35 65 35 35 56
7,172195,1494,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
8,172496,1795,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
9,172796,2095,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 95 35 99 99 AA AA 35 35 AA 95 9A 96
10,173105,2404,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
11,173405,2704,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
12,173706,3005,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 95 35 99 99 AA AA 35 35 AA 95 9A 96
13,173998,3297,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
14,174305,3604,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
15,174593,3892,500k_8E1,5C C7 33 35 95 35 59 AA AA 6A AA 96 65 99 5A F8 5C C7 33 35 5A 35 35 65 35 35 56
16,174605,3904,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 95 35 99 99 AA AA 35 35 AA 95 9A 96
17,174613,3912,500k_8E1,5C C7 33 56 35 35 59 AA AA 6A AA 5A 65 99 66 80
18,174630,3929,500k_8E1,5C C7 33 56 35 35 59 AA AA 6A AA 5A 65 99 66 E0 5C C7 33 35 5A 35 35 65 35 35 56
19,174641,3940,500k_8E1,5C C7 33 56 95 35 59 6A AA AA AA 5A 65 A5 6A 00 5C C7 33 35 5A 35 35 65 35 35 56
20,174900,4199,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 95 35 AA AA AA AA 9A 35 AA 56
