record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,356994,0,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
2,357294,300,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
3,357455,461,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A E0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FC 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
4,357597,603,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 56 99 99 AA A9 35 35 66 65 96 35
5,357901,907,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
6,358198,1204,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
7,358502,1508,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 56 99 99 AA A9 35 35 66 65 96 35
8,358801,1807,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
9,359101,2107,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
10,359402,2408,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 56 99 99 AA A9 35 35 66 65 96 35
11,359700,2706,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 AA A9 AA AA 5A 65 AA 35
12,360001,3007,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
