record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,1285627,0,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
2,1285923,296,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
3,1286224,597,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
4,1286237,610,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
5,1286526,899,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
6,1286827,1200,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
7,1287127,1500,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 80 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
8,1287426,1799,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
9,1287512,1885,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80 5C C7 33 35 5A 35 35 65 35 35 56
10,1287526,1899,500k_8E1,5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 80 5C C7 33 35 5A 35 35 65 35 35 56
11,1287538,1911,500k_8E1,5C C7 33 56 95 35 59 AA AA AA AA AA 65 99 69 00 5C C7 33 35 5A 35 35 65 35 35 56
12,1287732,2105,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
13,1288033,2406,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
14,1288332,2705,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
15,1288632,3005,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
16,1288931,3304,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
17,1289087,3460,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A F0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FC 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
18,1289235,3608,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
19,1289536,3909,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
20,1289830,4203,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
21,1290135,4508,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
22,1290431,4804,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
23,1290736,5109,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
24,1291034,5407,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00
25,1291054,5427,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
26,1291333,5706,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
27,1291633,6006,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
28,1291644,6017,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00
29,1291664,6037,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
30,1291934,6307,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
31,1292234,6607,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
32,1292535,6908,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
33,1292833,7206,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
34,1293134,7507,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
35,1293434,7807,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
36,1293743,8116,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
37,1294044,8417,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
38,1294100,8473,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A 80 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 95 35 AA AA 65 5A A5 9A FC 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
39,1294340,8713,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
40,1294645,9018,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
41,1294941,9314,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
42,1295238,9611,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 80 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
43,1295538,9911,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
44,1295839,10212,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
45,1296140,10513,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
46,1296448,10821,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
47,1296749,11122,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
48,1297049,11422,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
49,1297348,11721,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
50,1297648,12021,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
51,1297949,12322,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 56 35 35 66 95 A6 35
52,1298248,12621,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35
53,1298538,12911,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 80 5C C7 33 35 5A 35 35 65 35 35 56
54,1298550,12923,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 56 35 35 6A 95 AA 35 5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 80
