0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,5.044922744777804308e-02
2.000000000000000042e-02,1.013476501696308346e-01
2.999999999999999889e-02,1.526952357066176935e-01
4.000000000000000083e-02,2.044919513146432055e-01
5.000000000000000278e-02,2.567377639645406773e-01
5.999999999999999778e-02,3.094326403421562288e-01
7.000000000000000666e-02,3.625713791782759765e-01
8.000000000000000167e-02,4.161454004316516575e-01
8.999999999999999667e-02,4.701464243472968096e-01
1.000000000000000056e-01,5.245664548792717818e-01
1.100000000000000006e-01,5.793977643695682467e-01
1.199999999999999956e-01,6.346328793632214360e-01
1.300000000000000044e-01,6.902645674534784170e-01
1.400000000000000133e-01,7.462858250627379952e-01
1.499999999999999944e-01,8.026898660753236658e-01
1.600000000000000033e-01,8.594701112471784255e-01
1.700000000000000122e-01,9.166201783254729341e-01
1.799999999999999933e-01,9.741338728180531925e-01
1.900000000000000022e-01,1.032005179358757241e+00
2.000000000000000111e-01,1.090228253620010523e+00
2.099999999999999922e-01,1.148797414728871313e+00
2.200000000000000011e-01,1.207707138146911552e+00
2.300000000000000100e-01,1.266952048978068346e+00
2.399999999999999911e-01,1.326526915671931928e+00
2.500000000000000000e-01,1.386426644092911831e+00
2.600000000000000089e-01,1.446646271928379690e+00
2.700000000000000178e-01,1.507180963411266728e+00
2.800000000000000266e-01,1.568026004334729606e+00
2.899999999999999800e-01,1.629176797338414362e+00
2.999999999999999889e-01,1.690628857447578737e+00
3.099999999999999978e-01,1.752377807847886881e+00
3.200000000000000067e-01,1.814419375880100382e+00
3.300000000000000155e-01,1.876749389240158106e+00
3.400000000000000244e-01,1.939363772371294647e+00
3.500000000000000333e-01,2.002258543035890348e+00
3.599999999999999867e-01,2.065429809055696619e+00
3.699999999999999956e-01,2.128873765209947422e+00
3.800000000000000044e-01,2.192586690281653539e+00
3.900000000000000133e-01,2.256564944243094395e+00
4.000000000000000222e-01,2.320804965572185186e+00
4.100000000000000311e-01,2.385303268691989054e+00
4.199999999999999845e-01,2.450056441526203166e+00
4.299999999999999933e-01,2.515061143163943580e+00
4.400000000000000022e-01,2.580314101627626311e+00
4.500000000000000111e-01,2.645812111738155892e+00
4.600000000000000200e-01,2.711552033072038626e+00
4.700000000000000289e-01,2.777530788005384110e+00
4.799999999999999822e-01,2.843745359840100129e+00
4.899999999999999911e-01,2.910192791007890634e+00
5.000000000000000000e-01,2.976870181347948119e+00
5.100000000000000089e-01,3.043774686454495448e+00
5.200000000000000178e-01,3.110903516090572918e+00
5.300000000000000266e-01,3.178253932664694581e+00
5.400000000000000355e-01,3.245823249767200380e+00
5.500000000000000444e-01,3.313608830763330459e+00
5.600000000000000533e-01,3.381608087440219457e+00
5.700000000000000622e-01,3.449818478705187541e+00
5.799999999999999600e-01,3.518237509332842183e+00
5.899999999999999689e-01,3.586862728758670293e+00
5.999999999999999778e-01,3.655691729916916266e+00
6.099999999999999867e-01,3.724722148120679588e+00
