record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,318219,0,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
2,318520,301,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 96 AA 95 35 AA AA AA AA 99 65 A6 AA
3,318820,601,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 95 35 35 35 AA AA AA AA 96 95 A6 96
4,319120,901,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
5,319428,1209,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 96 AA 95 35 AA AA AA AA 99 65 A6 AA
6,319728,1509,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 95 35 35 35 AA AA AA AA 96 95 A6 96
7,320029,1810,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
8,320083,1864,500k_8E1,5C C7 33 35 96 A5 65 96 AA 69 35 AA 5A 6A AA 65 96 A6 99 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 6A AA 35 35 AA AA 69 9A 99 9A FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 59 35 AA AA 35 35 AA AA 6A 5A 95 95 FF 5C C7 33 35 5A 35 35 65 35 35 56
9,320323,2104,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 96 AA 95 35 AA AA AA AA 99 65 A6 AA
10,320623,2404,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 95 35 35 35 AA AA AA AA 96 95 A6 96
11,320923,2704,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
12,321223,3004,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 96 AA 95 35 AA AA AA AA 99 65 A6 AA
13,321530,3311,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 95 35 35 35 AA AA AA AA 96 95 A6 96
14,321828,3609,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
15,321838,3619,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
16,321858,3639,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00
17,321878,3659,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
18,322122,3903,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 96 AA 95 35 AA AA AA AA 99 65 A6 AA
19,322424,4205,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 95 35 35 35 AA AA AA AA 96 95 A6 96
