record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,294154,0,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
2,294418,264,500k_8E1,5C C7 33 35 96 A5 65 9A AA AA AA AA 5A AA AA 35 6A A9 35 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 99 59 AA AA 95 35 AA AA 95 5A A5 35 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
3,294454,300,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
4,294750,596,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
5,295055,901,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
6,295359,1205,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
7,295660,1506,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
8,295959,1805,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 35 35 35 35 56 65 AA 35
9,296259,2105,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
10,296560,2406,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
11,296848,2694,500k_8E1,5C C7 33 35 95 35 59 AA AA AA AA 5A 65 99 59 E0 5C C7 33 35 5A 35 35 65 35 35 56
12,296860,2706,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 56 35 35 35 35 35 35 56 65 AA 35 5C C7 33 56 35 35 59 AA AA AA AA 96 65 99 65 C0 5C C7 33 35 5A 35 35 65 35 35 56
13,296878,2724,500k_8E1,5C C7 33 56 95 35 59 AA AA AA AA AA 65 99 69 5C C7 33 35 5A 35 35 65 35 35 56
14,297155,3001,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
15,297457,3303,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
16,297756,3602,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00
17,297767,3613,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 5A 35 35 35 35 35 35 99 A5 AA 56
18,298056,3902,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
19,298357,4203,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
20,298665,4511,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 5A 35 35 35 35 35 35 99 A5 AA 56
21,298966,4812,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
22,299262,5108,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
23,299423,5269,500k_8E1,5C C7 33 35 96 A5 65 9A AA AA AA AA 5A AA AA 35 6A A9 35 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 99 59 AA AA 95 35 AA AA 95 5A A5 35 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FE 5C C7 33 35 5A 35 35 65 35 35 56
24,299563,5409,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 6A 35 35 35 35 35 35 96 A5 AA 35
25,299860,5706,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
26,300162,6008,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
27,300466,6312,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 AA 35 35 35 35 35 35 AA A5 AA 59
28,300767,6613,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
29,301067,6913,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
30,301366,7212,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 56 AA 35 35 35 35 35 35 5A A5 AA 69
31,301666,7512,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
32,301967,7813,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
33,302265,8111,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 5A AA 35 35 35 35 35 35 AA A5 AA A6
34,302566,8412,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
