record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,12687,0,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
2,12987,300,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
3,13288,601,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
4,13588,901,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
5,13890,1203,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
6,14186,1499,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
7,14491,1804,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
8,14789,2102,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
9,15089,2402,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
10,15388,2701,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
11,15688,3001,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
12,15988,3301,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 C0 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
13,16288,3601,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
14,16588,3901,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
15,16601,3914,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
16,16891,4204,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
17,16955,4268,500k_8E1,5C C7 33 35 96 A5 65 96 AA AA AA AA 5A AA AA A5 6A A9 9A F0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 95 59 AA AA 35 35 AA AA 95 5A 99 99 FE 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 59 35 AA AA 35 35 AA AA 6A 5A 95 95 FF 5C C7 33 35 5A 35 35 65 35 35 56
18,17187,4500,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
19,17487,4800,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 80 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
20,17787,5100,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00 5C C7 33 35 5A 35 65 35 35 99 99 AA AA 35 35 5A 95 96 35
21,18096,5409,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 AA AA AA AA 66 95 AA 35
