record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,1479458,0,500k_8E1,5C C7 33 35 96 A5 65 9A AA A6 AA AA 5A AA AA A5 A6 A9 56 E0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 99 59 A6 AA 95 35 AA AA 65 96 A5 56 FE 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 A6 AA 35 35 AA AA 6A 96 99 35 FF 5C C7 33 35 5A 35 35 65 35 35 56
2,1479494,36,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
3,1479795,337,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00
4,1479807,349,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
5,1480097,639,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
6,1480108,650,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
7,1480396,938,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
8,1480697,1239,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
9,1480997,1539,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99
10,1481009,1551,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
11,1481298,1840,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
12,1481598,2140,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
13,1481899,2441,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
14,1482198,2740,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 80 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
15,1482500,3042,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
16,1482804,3346,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
17,1483100,3642,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
18,1483398,3940,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
19,1483705,4247,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
20,1484003,4545,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
21,1484304,4846,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
22,1484463,5005,500k_8E1,5C C7 33 35 96 A5 65 9A AA A6 AA AA 5A AA AA A5 A6 A9 56 F0 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 99 59 A6 AA 95 35 AA AA 65 96 A5 56 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 A6 AA 35 35 AA AA 6A 96 99 35 FF 5C C7 33 35 5A 35 35 65 35 35 56
23,1484601,5143,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 00
24,1484615,5157,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
25,1484903,5445,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
26,1485204,5746,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
27,1485505,6047,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
28,1485803,6345,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
29,1485900,6442,500k_8E1,5C C7 33 35 95 35 59 A6 AA AA AA AA 65 9A 9A 00 5C C7 33 35 5A 35 35 65 35 35 56
30,1485914,6456,500k_8E1,5C C7 33 56 35 35 59 A6 AA AA AA 66 65 9A A6 00 5C C7 33 35 5A 35 35 65 35 35 56
31,1485926,6468,500k_8E1,5C C7 33 56 95 35 59 A6 AA AA AA 5A 65 9A AA 5C C7 33 35 5A 35 35 65 35 35 56
32,1486110,6652,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
33,1486410,6952,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 80 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
34,1486709,7251,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
35,1487009,7551,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
36,1487310,7852,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
37,1487614,8156,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A
38,1487630,8172,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
39,1487915,8457,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
40,1488211,8753,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
41,1488514,9056,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
42,1488815,9357,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
43,1489115,9657,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 59 35 99 99 59 35 35 35 A5 95 A5 5A
44,1489414,9956,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 59 35 35 35 59 35 35 35 A9 95 A9 5A
