record_num,timestamp_ms,elapsed_ms,config,hex_bytes
1,67302,0,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
2,67602,300,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
3,67903,601,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
4,68211,909,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
5,68509,1207,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
6,68804,1502,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00
7,68821,1519,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
8,69110,1808,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
9,69410,2108,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
10,69711,2409,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
11,70011,2709,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 C0 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
12,70311,3009,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
13,70610,3308,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
14,70768,3466,500k_8E1,5C C7 33 35 96 A5 65 9A AA A6 AA AA 5A AA AA A5 A6 A9 56 F8 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 56 A5 65 99 59 AA AA 95 35 AA AA 95 5A A5 35 FF 5C C7 33 35 5A 35 35 65 35 35 56 5C C7 33 56 96 A5 65 99 35 AA AA 35 35 AA AA 9A 5A 99 56 FF 5C C7 33 35 5A 35 35 65 35 35 56
15,70906,3604,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6
16,70923,3621,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
17,71212,3910,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
18,71510,4208,500k_8E1,5C C7 33 35 96 A5 35 9A 35 35 6A 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
19,71811,4509,500k_8E1,5C C7 33 56 56 A5 35 9A 35 35 A6 00 5C C7 33 35 5A 35 65 35 35 35 35 35 35 35 35 A9 95 AA 56
20,72111,4809,500k_8E1,5C C7 33 56 96 A5 35 6A 35 35 99 5C C7 33 35 5A 35 65 35 35 99 99 35 35 35 35 A5 95 A6 56
